data_version=fm-20260911-01 params_sha=6a1bb7f46402 window=320 比對 10 日（2026-09-01～2026-09-14）；repo 原料包 480 份（區間內 10 份）、參考交易日 10 日
2026-09-01  原料包 相同 | 分數 共同 5,835 列 不同 5,835 | diag 相同 | 歸類 ①0 ②0 ③0 ④0 ⑤0 ⑥0 ①連帶1944
    2026-09-02: ('tpex', 'mid', '1565') 欄 line_3: A=57.66579206330934 B=57.70517196983578
    2026-09-02: ('tpex', 'mid', '1569') 欄 line_6: A=42.080018319197066 B=42.04401976618381
    2026-09-02: ('tpex', 'mid', '1570') 欄 line_6: A=44.44472860663839 B=44.408730053625135
    2026-09-02: ('tpex', 'mid', '1580') 欄 line_6: A=44.44472860663839 B=44.408730053625135
    2026-09-02: ('tpex', 'mid', '1584') 欄 line_6: A=44.384120740153264 B=44.34812218714001
    2026-09-02: ('tpex', 'mid', '1586') 欄 line_6: A=44.44472860663839 B=44.408730053625135
    2026-09-02: ('tpex', 'mid', '1591') 欄 line_6: A=44.44472860663839 B=44.408730053625135
    2026-09-02: ('tpex', 'mid', '1593') 欄 line_6: A=42.00234888128155 B=41.966350328268284
    2026-09-02: ('tpex', 'mid', '1595') 欄 line_6: A=49.112509382615414 B=49.07651082960216
    2026-09-02: ('tpex', 'mid', '1599') 欄 line_6: A=44.44472860663839 B=44.408730053625135
    2026-09-02: ('tpex', 'mid', '1742') 欄 line_6: A=48.77376776859157 B=48.737769215578304
    2026-09-02: ('tpex', 'mid', '1777') 欄 line_3: A=49.078835685487704 B=49.11184456808454
    2026-09-02: ('tpex', 'mid', '1780') 欄 line_6: A=36.88496622496939 B=36.848967671956125
    2026-09-02: ('tpex', 'mid', '1781') 欄 line_3: A=16.56486843604681 B=16.589346449564065
    2026-09-02: ('tpex', 'mid', '1784') 欄 line_3: A=39.8672903346823 B=39.896360105981785
    2026-09-02: ('tpex', 'mid', '1785') 欄 line_6: A=49.92757924073929 B=49.89158068772603
    2026-09-02: ('tpex', 'mid', '1788') 欄 line_3: A=37.10033975183618 B=37.14245966264343
    2026-09-02: ('tpex', 'mid', '1796') 欄 line_6: A=34.973141002911674 B=34.93714244989842
    2026-09-02: ('tpex', 'mid', '1799') 欄 line_3: A=22.28820989068112 B=22.323990439363513
    2026-09-02: ('tpex', 'mid', '1813') 欄 line_3: A=27.801131557075344 B=27.839108685154493
    2026-09-02: ('tpex', 'mid', '1815') 欄 line_6: A=47.73875832473344 B=47.702759771720174
    2026-09-02: ('tpex', 'mid', '2061') 欄 line_6: A=53.5496331203215 B=53.513634567308245
    2026-09-02: ('tpex', 'mid', '2063') 欄 line_6: A=50.5831458984656 B=50.54714734545234
    2026-09-02: ('tpex', 'mid', '2064') 欄 line_6: A=43.102414108599106 B=43.06641555558584
    2026-09-02: ('tpex', 'mid', '2065') 欄 line_6: A=50.5831458984656 B=50.54714734545234
    2026-09-02: ('tpex', 'mid', '2066') 欄 line_6: A=44.44472860663839 B=44.408730053625135
    2026-09-02: ('tpex', 'mid', '2067') 欄 line_6: A=44.44472860663839 B=44.408730053625135
    2026-09-02: ('tpex', 'mid', '2070') 欄 line_6: A=44.44472860663839 B=44.408730053625135
    2026-09-02: ('tpex', 'mid', '2221') 欄 line_6: A=44.384120740153264 B=44.34812218714001
    2026-09-02: ('tpex', 'mid', '2230') 欄 line_6: A=40.274622161718604 B=40.23862360870534
    2026-09-02: ('tpex', 'mid', '2235') 欄 line_6: A=36.48059460155009 B=36.44459604853682
    2026-09-02: ('tpex', 'mid', '2596') 欄 line_6: A=47.646763293857354 B=47.61076474084409
    2026-09-02: ('tpex', 'mid', '2640') 欄 line_6: A=40.910279783373134 B=40.87428123035988
    2026-09-02: ('tpex', 'mid', '2641') 欄 line_6: A=40.16943889703525 B=40.13344034402199
    2026-09-02: ('tpex', 'mid', '2643') 欄 line_6: A=40.16943889703525 B=40.13344034402199
    2026-09-02: ('tpex', 'mid', '2718') 欄 line_6: A=47.646763293857354 B=47.61076474084409
    2026-09-02: ('tpex', 'mid', '2719') 欄 line_6: A=42.04727564934588 B=42.01127709633262
    2026-09-02: ('tpex', 'mid', '2724') 欄 line_6: A=37.354337185522176 B=37.31833863250891
    2026-09-02: ('tpex', 'mid', '2726') 欄 line_6: A=42.04727564934588 B=42.01127709633262
    2026-09-02: ('tpex', 'mid', '2729') 欄 line_6: A=42.04727564934588 B=42.01127709633262
    2026-09-02: ('tpex', 'mid', '2732') 欄 line_6: A=42.04727564934588 B=42.01127709633262
    2026-09-02: ('tpex', 'mid', '2734') 欄 line_6: A=42.04727564934588 B=42.01127709633262
    2026-09-02: ('tpex', 'mid', '2736') 欄 line_6: A=42.04727564934588 B=42.01127709633262
    …另 7709 筆（--show 放大）
2026-09-03  原料包 相同 | 分數 共同 5,826 列 不同 5,826 | diag 相同 | 歸類 ①14 ②0 ③0 ④1927 ⑤0 ⑥0
    2026-09-03: ('tpex', 'mid', '1240') 欄 line_2: A=68.57720611990045 B=38.11700517071002
    2026-09-03: ('tpex', 'mid', '1259') 欄 line_6: A=32.99306750140043 B=31.827432985695673
    2026-09-03: ('tpex', 'mid', '1264') 欄 line_6: A=46.993384417311184 B=46.89524990160642
    2026-09-03: ('tpex', 'mid', '1268') 欄 line_6: A=45.643571545411405 B=44.34104582861347
    2026-09-03: ('tpex', 'mid', '1294') 欄 line_6: A=46.993384417311184 B=46.89524990160642
    2026-09-03: ('tpex', 'mid', '1295') 欄 line_6: A=46.993384417311184 B=46.89524990160642
    2026-09-03: ('tpex', 'mid', '1336') 欄 line_6: A=41.93455081692108 B=41.7649668657526
    2026-09-03: ('tpex', 'mid', '1565') 欄 line_6: A=38.58726631443785 B=38.489131798733084
