# d 校準報告  dump 2021-01-01～2023-06-30（603 日） data_version=fm-20260911-01 params_sha=a6a3f35cd1f0  p85 method=linear  閘門 15.0%  距離型容差 25%
# 鍵數：{'distance': 30, 'calibrate': 172, 'not_applicable': 90, 'persistence': 12}；有樣本的鍵 266／304；樣本合計 68,701,750、跳過 10,089,667
# clip_old%／clip_new%＝舊 d／新 d（p85÷3）下 |x−c|>3d 的比例；clip_eff%＝生效 d（見檔頭）下的比例；med!＝|median−c|>d_new；adopt＝距離型 |d_new−d_old|/d_old 超容差；gate＝clip_eff% > 閘門＋100/n（一個樣本的離散化餘裕；嚴格版見下方清單）；p85=0 者 d_eff 留空＝退化
category     key                                                               n       c    d_old       p85     d_new  clipO%  clipN%    d_eff  clipE%     median med! adopt gate
calibrate    market_index__twse__mid__2__C__new_high_low_ratio               603    0.00   3.0000   13.0800    4.3600   27.69   15.09   4.3600   15.09     3.0334          —     
calibrate    market_index__twse__mid__2__D__ad_line_dev                      603    0.00   1.0000    2.0913    0.6971    4.64   15.09   0.6971   15.09     0.4189          —     
calibrate    market_index__twse__mid__3__A__amount_ratio                     603    1.00   0.3000    0.1841    0.0614    0.00   15.09   0.0614   15.09     0.9976          —     
calibrate    market_index__twse__mid__4__A__foreign_net_ratio                603    0.00   0.5000    3.7151    1.2384   51.08   15.09   1.2384   15.09    -0.6126          —     
calibrate    market_index__twse__mid__4__B__trust_net_ratio                  603    0.00   0.1000    0.5982    0.1994   44.78   15.09   0.1994   15.09     0.2510    Y     —     
calibrate    market_index__twse__mid__4__D__margin_change                    603    0.00   2.0000   11.5717    3.8572   45.11   15.09   3.8572   15.09     0.5200          —     
calibrate    market_index__twse__mid__5__A__foreign_net_oi_change            603    0.00 5000.0000 14401.6000 4800.5333   13.43   15.09 4800.5333   15.09   649.0000          —     
calibrate    market_index__twse__mid__5__B__basis                            573    0.00   0.3000    0.3374    0.1125    2.97   15.01   0.1125   15.01     0.0081          —     
calibrate    market_index__twse__mid__6__A__sox_return                       603    0.00   5.0000   13.8792    4.6264   11.28   15.09   4.6264   15.09     1.1145          —     
calibrate    market_index__twse__mid__6__A__spx_return                       603    0.00   3.0000    6.6758    2.2253    3.98   15.09   2.2253   15.09     1.1507          —     
calibrate    market_index__twse__mid__6__B__usdtwd_change                    603    0.00   0.6000    2.1794    0.7265   20.90   15.09   0.7265   15.09     0.0977          —     
calibrate    market_index__twse__short__1__B__ma20_slope                     603    0.00   0.5000    1.4301    0.4767   13.27   15.09   0.4767   15.09     0.1580          —     
calibrate    market_index__twse__short__2__C__new_high_low_ratio             603    0.00   3.0000   33.4889   11.1630   67.66   15.09  11.1630   15.09     5.3698          —     
calibrate    market_index__twse__short__2__D__ad_line_dev                    603    0.00   1.0000    2.2287    0.7429    5.64   15.09   0.7429   15.09     0.1919          —     
