# d 校準報告  dump 2021-01-01～2023-06-30（603 日） data_version=fm-20260911-01 params_sha=a6a3f35cd1f0  p85 method=linear  閘門 15.0%  距離型容差 25%
# 鍵數：{'distance': 30, 'calibrate': 172, 'not_applicable': 90, 'persistence': 12}；有樣本的鍵 266／304；樣本合計 68,701,750、跳過 10,089,667
# clip_old%／clip_new%＝舊 d／新 d（p85÷3）下 |x−c|>3d 的比例；clip_eff%＝生效 d（見檔頭）下的比例；med!＝|median−c|>d_new；adopt＝距離型 |d_new−d_old|/d_old 超容差；gate＝clip_eff% > 閘門＋100/n（一個樣本的離散化餘裕；嚴格版見下方清單）；p85=0 者 d_eff 留空＝退化
category     key                                                               n       c    d_old       p85     d_new  clipO%  clipN%    d_eff  clipE%     median med! adopt gate
calibrate    stock__twse__short__3__B__excess_vs_industry                 592270    0.00   4.0000    7.1953    2.3984    5.86   15.00   2.3984   15.00     0.0000          —     
calibrate    stock__twse__short__3__C__excess_accel                       594249    0.00   3.0000    8.5159    2.8386   13.61   15.00   2.8386   15.00     0.1341          —     
calibrate    stock__twse__short__5__A__foreign_strength_long              593133    0.00   4.0000   18.3604    6.1201   28.72   15.00   6.1201   15.00     0.0000          —     
calibrate    stock__twse__short__5__A__foreign_strength_short             593172    0.00   5.0000   21.4875    7.1625   26.96   15.00   7.1625   15.00     0.0000          —     
calibrate    stock__twse__short__5__B__trust_strength_long                593133    0.00   4.0000    1.0883    0.3628    1.98   15.00   0.3628   15.00     0.0000          —     
calibrate    stock__twse__short__5__B__trust_strength_short               593172    0.00   5.0000    0.8612    0.2871    1.59   15.00   0.2871   15.00     0.0000          —     
calibrate    stock__twse__short__5__D__margin_scenario                    536651    0.00   5.0000   12.7273    4.2424   12.09   15.00   4.2424   15.00    -0.5618          —     
calibrate    stock__twse__short__5__E__short_sale_change                  571079    0.00   0.3000    0.1382    0.0461    0.42   15.00   0.0461   15.00     0.0000          —     
calibrate    stock__twse__short__6__B__industry_relative_return           594409    0.00   3.0000    2.7888    0.9296    0.36   14.99   0.9296   14.99    -0.1423          —     
calibrate    stock__twse__swing__1__A__revenue_accel                      579490    0.00  10.0000   41.2170   13.7390   23.89   15.00  13.7390   15.00    -1.0784          —     
calibrate    stock__twse__swing__1__A__revenue_yoy                        582271    0.00  15.0000   50.7685   16.9228   18.36   15.00  16.9228   15.00     7.0529          —     
calibrate    stock__twse__swing__2__B__ma_long_slope                      593616    0.00   0.7000    1.8915    0.6305   10.68   15.00   0.6305   15.00     0.1071          —     
calibrate    stock__twse__swing__3__A__excess_long                        593925    0.00   5.0000   12.2640    4.0880   10.01   15.00   4.0880   15.00    -0.2958          —     
calibrate    stock__twse__swing__3__A__excess_short                       594249    0.00   4.0000    8.4494    2.8165    7.48   15.00   2.8165   15.00    -0.2258          —     
calibrate    stock__twse__swing__3__B__excess_vs_industry                 591938    0.00   5.0000   10.3558    3.4519    7.68   15.00   3.4519   15.00     0.0000          —     
calibrate    stock__twse__swing__3__C__excess_accel                       593925    0.00   4.0000   12.2566    4.0855   15.58   15.00   4.0855   15.00     0.2169          —     
calibrate    stock__twse__swing__5__A__foreign_strength_long              593024    0.00   3.0000   14.9082    4.9694   30.53   15.00   4.9694   15.00     0.0000          —     
calibrate    stock__twse__swing__5__A__foreign_strength_short             593133    0.00   4.0000   18.3604    6.1201   28.72   15.00   6.1201   15.00     0.0000          —     
calibrate    stock__twse__swing__5__B__trust_strength_long                593024    0.00   3.0000    1.2835    0.4278    2.59   15.00   0.4278   15.00     0.0000          —     
calibrate    stock__twse__swing__5__B__trust_strength_short               593133    0.00   4.0000    1.0883    0.3628    1.98   15.00   0.3628   15.00     0.0000          —     
calibrate    stock__twse__swing__5__D__margin_scenario                    536370    0.00   5.0000   19.7674    6.5891   21.23   15.00   6.5891   15.00    -1.2195          —     
calibrate    stock__twse__swing__5__E__short_sale_change                  570857    0.00   0.3000    0.2352    0.0784    1.55   15.00   0.0784   15.00     0.0000          —     
calibrate    stock__twse__swing__6__B__industry_relative_return           594249    0.00   4.0000    4.0671    1.3557    0.60   15.00   1.3557   15.00    -0.1728          —     
distance     market_index__tpex__mid__1__A__dist_ma_long                     603    0.00   1.5000    5.4446    1.8149   28.03   15.09   1.5000   28.03     1.4563               Y
distance     market_index__tpex__mid__1__A__dist_ma_short                    603    0.00   1.0000    3.2239    1.0746   18.91   15.09   1.0000   18.91     0.7746               Y
distance     market_index__tpex__mid__6__A__spx_ma_distance                  603    0.00   1.0000    2.5240    0.8413    9.12   15.09   1.0000    9.12     0.5500                
distance     market_index__tpex__short__1__A__dist_ma_long                   603    0.00   1.0000    3.2239    1.0746   18.91   15.09   1.0000   18.91     0.7746               Y
distance     market_index__tpex__short__1__A__dist_ma_short                  603    0.00   0.6000    1.2621    0.4207    5.64   15.09   0.4207   15.09     0.2172          Y     
distance     market_index__tpex__short__6__A__spx_ma_distance                603    0.00   0.6000    1.1583    0.3861    2.32   15.09   0.3861   15.09     0.1397          Y     
distance     market_index__tpex__swing__1__A__dist_ma_long                   603    0.00   1.0000    3.2239    1.0746   18.91   15.09   1.0000   18.91     0.7746               Y
distance     market_index__tpex__swing__1__A__dist_ma_short                  603    0.00   0.8000    2.1367    0.7122   10.61   15.09   0.8000   10.61     0.4180                
distance     market_index__tpex__swing__6__A__spx_ma_distance                603    0.00   0.8000    1.7019    0.5673    3.15   15.09   0.5673   15.09     0.2624          Y     
distance     market_index__twse__mid__1__A__dist_ma_long                     603    0.00   1.5000    5.2647    1.7549   26.37   15.09   1.5000   26.37     1.2685               Y
distance     market_index__twse__mid__1__A__dist_ma_short                    603    0.00   1.0000    3.2768    1.0923   18.24   15.09   1.0000   18.24     0.4203               Y
distance     market_index__twse__mid__6__A__spx_ma_distance                  603    0.00   1.0000    2.5240    0.8413    9.12   15.09   1.0000    9.12     0.5500                
distance     market_index__twse__short__1__A__dist_ma_long                   603    0.00   1.0000    3.2768    1.0923   18.24   15.09   1.0000   18.24     0.4203               Y
distance     market_index__twse__short__1__A__dist_ma_short                  603    0.00   0.6000    1.3095    0.4365    5.80   15.09   0.4365   15.09     0.1769          Y     
distance     market_index__twse__short__6__A__spx_ma_distance                603    0.00   0.6000    1.1583    0.3861    2.32   15.09   0.3861   15.09     0.1397          Y     
distance     market_index__twse__swing__1__A__dist_ma_long                   603    0.00   1.0000    3.2768    1.0923   18.24   15.09   1.0000   18.24     0.4203               Y
distance     market_index__twse__swing__1__A__dist_ma_short                  603    0.00   0.8000    2.1223    0.7074   10.12   15.09   0.8000   10.12     0.2773                
distance     market_index__twse__swing__6__A__spx_ma_distance                603    0.00   0.8000    1.7019    0.5673    3.15   15.09   0.5673   15.09     0.2624          Y     
distance     stock__tpex__mid__2__A__dist_ma_long                         481544    0.00   1.5000    4.1227    1.3742   11.89   15.00   1.5000   11.89     0.1731                
distance     stock__tpex__mid__2__A__dist_ma_short                        482945    0.00   1.0000    2.4129    0.8043    8.79   15.00   1.0000    8.79     0.0366                
distance     stock__tpex__short__2__A__dist_ma_long                       482945    0.00   1.0000    2.4129    0.8043    8.79   15.00   1.0000    8.79     0.0366                
distance     stock__tpex__short__2__A__dist_ma_short                      483077    0.00   0.6000    1.0646    0.3549    4.82   15.00   0.3549   15.00    -0.0000          Y     
distance     stock__tpex__swing__2__A__dist_ma_long                       482945    0.00   1.0000    2.4129    0.8043    8.79   15.00   1.0000    8.79     0.0366                
distance     stock__tpex__swing__2__A__dist_ma_short                      483077    0.00   0.8000    1.6277    0.5426    6.25   15.00   0.5426   15.00    -0.0090          Y     
distance     stock__twse__mid__2__A__dist_ma_long                         592498    0.00   1.5000    4.0662    1.3554   11.33   15.00   1.5000   11.33     0.2185                
distance     stock__twse__mid__2__A__dist_ma_short                        593959    0.00   1.0000    2.3782    0.7927    8.13   15.00   1.0000    8.13     0.0875                
distance     stock__twse__short__2__A__dist_ma_long                       593959    0.00   1.0000    2.3782    0.7927    8.13   15.00   1.0000    8.13     0.0875                
distance     stock__twse__short__2__A__dist_ma_short                      594089    0.00   0.6000    1.0514    0.3505    4.14   15.00   0.3505   15.00     0.0000          Y     
distance     stock__twse__swing__2__A__dist_ma_long                       593959    0.00   1.0000    2.3782    0.7927    8.13   15.00   1.0000    8.13     0.0875                
distance     stock__twse__swing__2__A__dist_ma_short                      594089    0.00   0.8000    1.6059    0.5353    5.58   15.00   0.5353   15.00     0.0214          Y     
persistence  market_index__tpex__mid__4__C__foreign_buy_days                 603    0.00   2.0000    2.0000    0.6667    0.00   14.76   2.0000    0.00     0.0000          —     
persistence  market_index__tpex__short__4__C__foreign_buy_days               603    0.00   2.0000    2.0000    0.6667    0.00   14.76   2.0000    0.00     0.0000          —     
persistence  market_index__tpex__swing__4__C__foreign_buy_days               603    0.00   2.0000    2.0000    0.6667    0.00   14.76   2.0000    0.00     0.0000          —     
persistence  market_index__twse__mid__4__C__foreign_buy_days                 603    0.00   2.0000    3.0000    1.0000    0.00    7.30   2.0000    0.00    -1.0000          —     
persistence  market_index__twse__short__4__C__foreign_buy_days               603    0.00   2.0000    3.0000    1.0000    0.00    7.30   2.0000    0.00    -1.0000          —     
persistence  market_index__twse__swing__4__C__foreign_buy_days               603    0.00   2.0000    3.0000    1.0000    0.00    7.30   2.0000    0.00    -1.0000          —     
persistence  stock__tpex__mid__5__C__foreign_persistence                  478247    0.00   3.3400    8.0000    2.6667    0.00   14.62   3.3400    0.00    -2.0000          —     
persistence  stock__tpex__short__5__C__foreign_persistence                478443    0.00   1.0000    2.5000    0.8333    0.00    0.00   1.0000    0.00    -0.5000          —     
persistence  stock__tpex__swing__5__C__foreign_persistence                478390    0.00   2.0000    5.0000    1.6667    0.00    0.00   2.0000    0.00    -1.0000          —     
persistence  stock__twse__mid__5__C__foreign_persistence                  592800    0.00   3.3400    6.0000    2.0000    0.00    9.79   3.3400    0.00    -1.0000          —     
persistence  stock__twse__short__5__C__foreign_persistence                593133    0.00   1.0000    2.5000    0.8333    0.00    0.00   1.0000    0.00    -0.5000          —     
persistence  stock__twse__swing__5__C__foreign_persistence                593024    0.00   2.0000    3.0000    1.0000    0.00   14.29   2.0000    0.00     0.0000          —     
not_applicable market_index__tpex__mid__1__C__range_position                   603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__mid__2__A__above_ma_long_ratio              603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__mid__2__A__above_ma_short_ratio             603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__mid__2__B__advance_ratio                    603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__mid__3__B__up_amount_ratio                  603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__mid__3__C__divergence_scenario                0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__mid__5__A__foreign_net_oi_phist             599       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__mid__5__C__vix_phist_rev                      0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__mid__5_____put_call_ratio                     0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__short__1__C__range_position                 603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__short__2__A__above_ma_long_ratio            603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__short__2__A__above_ma_short_ratio           603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__short__2__B__advance_ratio                  603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__short__3__B__up_amount_ratio                603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__short__3__C__divergence_scenario              0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__short__5__A__foreign_net_oi_phist           599       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__short__5__C__vix_phist_rev                    0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__short__5_____put_call_ratio                   0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__swing__1__C__range_position                 603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__swing__2__A__above_ma_long_ratio            603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__swing__2__A__above_ma_short_ratio           603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__swing__2__B__advance_ratio                  603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__swing__3__B__up_amount_ratio                603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__swing__3__C__divergence_scenario              0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__swing__5__A__foreign_net_oi_phist           599       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__swing__5__C__vix_phist_rev                    0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__tpex__swing__5_____put_call_ratio                   0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__mid__1__C__range_position                   603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__mid__2__A__above_ma_long_ratio              603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__mid__2__A__above_ma_short_ratio             603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__mid__2__B__advance_ratio                    603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__mid__3__B__up_amount_ratio                  603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__mid__3__C__divergence_scenario                0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__mid__5__A__foreign_net_oi_phist             599       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__mid__5__C__vix_phist_rev                      0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__mid__5_____put_call_ratio                     0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__short__1__C__range_position                 603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__short__2__A__above_ma_long_ratio            603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__short__2__A__above_ma_short_ratio           603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__short__2__B__advance_ratio                  603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__short__3__B__up_amount_ratio                603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__short__3__C__divergence_scenario              0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__short__5__A__foreign_net_oi_phist           599       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__short__5__C__vix_phist_rev                    0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__short__5_____put_call_ratio                   0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__swing__1__C__range_position                 603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__swing__2__A__above_ma_long_ratio            603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__swing__2__A__above_ma_short_ratio           603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__swing__2__B__advance_ratio                  603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__swing__3__B__up_amount_ratio                603       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__swing__3__C__divergence_scenario              0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__swing__5__A__foreign_net_oi_phist           599       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__swing__5__C__vix_phist_rev                    0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable market_index__twse__swing__5_____put_call_ratio                   0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__mid__1__A__revenue_high_12m                          0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__mid__2__C__structure                                 0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__mid__4__B__close_position                       482931       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__mid__4__C__continuation                              0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__mid__6__A__market_direction                     459519       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__mid__6__B__industry_above_ma20_ratio            483576       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__short__2__C__structure                               0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__short__4__A__volume_scenario                         0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__short__4__B__close_position                     482716       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__short__4__C__continuation                            0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__short__6__A__market_direction                   459519       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__short__6__B__industry_above_ma20_ratio          483576       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__swing__2__C__structure                               0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__swing__4__A__volume_scenario                         0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__swing__4__B__close_position                     483182       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__swing__4__C__continuation                            0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__swing__6__A__market_direction                   459519       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__tpex__swing__6__B__industry_above_ma20_ratio          483576       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__mid__1__A__revenue_high_12m                          0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__mid__2__C__structure                                 0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__mid__4__B__close_position                       593959       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__mid__4__C__continuation                              0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__mid__6__A__market_direction                     564988       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__mid__6__B__industry_above_ma20_ratio            594569       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__short__2__C__structure                               0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__short__4__A__volume_scenario                         0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__short__4__B__close_position                     594358       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__short__4__C__continuation                            0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__short__6__A__market_direction                   564988       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__short__6__B__industry_above_ma20_ratio          594569       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__swing__2__C__structure                               0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__swing__4__A__volume_scenario                         0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__swing__4__B__close_position                     594273       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__swing__4__C__continuation                            0       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__swing__6__A__market_direction                   564988       —        —         —         —       —       —        —       —          —    —     —     
not_applicable stock__twse__swing__6__B__industry_above_ma20_ratio          594569       —        —         —         —       —       —        —       —          —    —     —     

## 閘門：生效 d 下截斷比例 > 15.0%＋100/n 的鍵（8 個；訓練段超標＝d 過小、必須重定）
  market_index__tpex__mid__1__A__dist_ma_long
  market_index__tpex__mid__1__A__dist_ma_short
  market_index__tpex__short__1__A__dist_ma_long
  market_index__tpex__swing__1__A__dist_ma_long
  market_index__twse__mid__1__A__dist_ma_long
  market_index__twse__mid__1__A__dist_ma_short
  market_index__twse__short__1__A__dist_ma_long
  market_index__twse__swing__1__A__dist_ma_long
## 嚴格版（> 15.0%、不放餘裕）另多出 127 個：['market_index__tpex__mid__1__B__ma20_slope', 'market_index__tpex__mid__2__C__new_high_low_ratio', 'market_index__tpex__mid__2__D__ad_line_dev', 'market_index__tpex__mid__3__A__amount_ratio', 'market_index__tpex__mid__4__A__foreign_net_ratio', 'market_index__tpex__mid__4__B__trust_net_ratio', 'market_index__tpex__mid__4__D__margin_change', 'market_index__tpex__mid__5__A__foreign_net_oi_change', 'market_index__tpex__mid__5__B__basis', 'market_index__tpex__mid__6__A__sox_return', 'market_index__tpex__mid__6__A__spx_return', 'market_index__tpex__mid__6__B__usdtwd_change', 'market_index__tpex__short__1__A__dist_ma_short', 'market_index__tpex__short__1__B__ma20_slope', 'market_index__tpex__short__2__C__new_high_low_ratio', 'market_index__tpex__short__2__D__ad_line_dev', 'market_index__tpex__short__3__A__amount_ratio', 'market_index__tpex__short__4__A__foreign_net_ratio', 'market_index__tpex__short__4__B__trust_net_ratio', 'market_index__tpex__short__4__D__margin_change', 'market_index__tpex__short__5__A__foreign_net_oi_change', 'market_index__tpex__short__5__B__basis', 'market_index__tpex__short__6__A__sox_return', 'market_index__tpex__short__6__A__spx_ma_distance', 'market_index__tpex__short__6__A__spx_return', 'market_index__tpex__short__6__B__usdtwd_change', 'market_index__tpex__swing__1__B__ma20_slope', 'market_index__tpex__swing__2__C__new_high_low_ratio', 'market_index__tpex__swing__2__D__ad_line_dev', 'market_index__tpex__swing__3__A__amount_ratio', 'market_index__tpex__swing__4__A__foreign_net_ratio', 'market_index__tpex__swing__4__B__trust_net_ratio', 'market_index__tpex__swing__4__D__margin_change', 'market_index__tpex__swing__5__A__foreign_net_oi_change', 'market_index__tpex__swing__5__B__basis', 'market_index__tpex__swing__6__A__sox_return', 'market_index__tpex__swing__6__A__spx_ma_distance', 'market_index__tpex__swing__6__A__spx_return', 'market_index__tpex__swing__6__B__usdtwd_change', 'market_index__twse__mid__1__B__ma20_slope', 'market_index__twse__mid__2__C__new_high_low_ratio', 'market_index__twse__mid__2__D__ad_line_dev', 'market_index__twse__mid__3__A__amount_ratio', 'market_index__twse__mid__4__A__foreign_net_ratio', 'market_index__twse__mid__4__B__trust_net_ratio', 'market_index__twse__mid__4__D__margin_change', 'market_index__twse__mid__5__A__foreign_net_oi_change', 'market_index__twse__mid__5__B__basis', 'market_index__twse__mid__6__A__sox_return', 'market_index__twse__mid__6__A__spx_return', 'market_index__twse__mid__6__B__usdtwd_change', 'market_index__twse__short__1__A__dist_ma_short', 'market_index__twse__short__1__B__ma20_slope', 'market_index__twse__short__2__C__new_high_low_ratio', 'market_index__twse__short__2__D__ad_line_dev', 'market_index__twse__short__3__A__amount_ratio', 'market_index__twse__short__4__A__foreign_net_ratio', 'market_index__twse__short__4__B__trust_net_ratio', 'market_index__twse__short__4__D__margin_change', 'market_index__twse__short__5__A__foreign_net_oi_change', 'market_index__twse__short__5__B__basis', 'market_index__twse__short__6__A__sox_return', 'market_index__twse__short__6__A__spx_ma_distance', 'market_index__twse__short__6__A__spx_return', 'market_index__twse__short__6__B__usdtwd_change', 'market_index__twse__swing__1__B__ma20_slope', 'market_index__twse__swing__2__D__ad_line_dev', 'market_index__twse__swing__3__A__amount_ratio', 'market_index__twse__swing__4__A__foreign_net_ratio', 'market_index__twse__swing__4__B__trust_net_ratio', 'market_index__twse__swing__4__D__margin_change', 'market_index__twse__swing__5__A__foreign_net_oi_change', 'market_index__twse__swing__5__B__basis', 'market_index__twse__swing__6__A__sox_return', 'market_index__twse__swing__6__A__spx_ma_distance', 'market_index__twse__swing__6__A__spx_return', 'market_index__twse__swing__6__B__usdtwd_change', 'stock__tpex__mid__2__B__ma_long_slope', 'stock__tpex__mid__3__A__excess_long', 'stock__tpex__mid__3__A__excess_short', 'stock__tpex__mid__3__B__excess_vs_industry', 'stock__tpex__mid__4__A__obv_slope', 'stock__tpex__mid__5__A__foreign_strength_short', 'stock__tpex__mid__5__E__short_sale_change', 'stock__tpex__short__2__B__ma_long_slope', 'stock__tpex__short__3__A__excess_long', 'stock__tpex__short__3__A__excess_short', 'stock__tpex__short__3__C__excess_accel', 'stock__tpex__short__5__A__foreign_strength_long', 'stock__tpex__short__5__A__foreign_strength_short', 'stock__tpex__short__5__D__margin_scenario', 'stock__tpex__short__5__E__short_sale_change', 'stock__tpex__swing__2__A__dist_ma_short', 'stock__tpex__swing__3__A__excess_long', 'stock__tpex__swing__3__A__excess_short', 'stock__tpex__swing__3__B__excess_vs_industry', 'stock__tpex__swing__3__C__excess_accel', 'stock__tpex__swing__5__A__foreign_strength_long', 'stock__tpex__swing__5__A__foreign_strength_short', 'stock__tpex__swing__5__D__margin_scenario', 'stock__tpex__swing__5__E__short_sale_change', 'stock__twse__mid__2__B__ma_long_slope', 'stock__twse__mid__3__A__excess_short', 'stock__twse__mid__3__B__excess_vs_industry', 'stock__twse__mid__3__C__excess_accel', 'stock__twse__mid__4__A__obv_slope', 'stock__twse__mid__5__A__foreign_strength_short', 'stock__twse__mid__5__B__trust_strength_short', 'stock__twse__mid__5__E__short_sale_change', 'stock__twse__short__3__A__excess_long', 'stock__twse__short__3__A__excess_short', 'stock__twse__short__3__B__excess_vs_industry', 'stock__twse__short__3__C__excess_accel', 'stock__twse__short__5__A__foreign_strength_long', 'stock__twse__short__5__A__foreign_strength_short', 'stock__twse__short__5__B__trust_strength_long', 'stock__twse__short__5__B__trust_strength_short', 'stock__twse__short__5__E__short_sale_change', 'stock__twse__swing__2__B__ma_long_slope', 'stock__twse__swing__3__A__excess_long', 'stock__twse__swing__3__A__excess_short', 'stock__twse__swing__3__B__excess_vs_industry', 'stock__twse__swing__3__C__excess_accel', 'stock__twse__swing__5__A__foreign_strength_long', 'stock__twse__swing__5__A__foreign_strength_short', 'stock__twse__swing__5__B__trust_strength_long', 'stock__twse__swing__5__B__trust_strength_short']

## 退化：p85 = 0（≥85% 樣本恰等於 c，d_new=0 非法）的鍵（6 個；要人看）
  stock__tpex__mid__5__B__trust_strength_long
  stock__tpex__mid__5__B__trust_strength_short
  stock__tpex__short__5__B__trust_strength_long
  stock__tpex__short__5__B__trust_strength_short
  stock__tpex__swing__5__B__trust_strength_long
  stock__tpex__swing__5__B__trust_strength_short

## |median − c| > d_new 的鍵（3 個；裁定 Q2：只列不改）
  market_index__twse__mid__4__B__trust_net_ratio
  market_index__twse__short__4__B__trust_net_ratio
  market_index__twse__swing__4__B__trust_net_ratio

## 距離型查表覆核（同一格 distance_d[n] 的合併樣本；all＝大盤＋個股＋SPX 三處合併、另列各 scope）
market scope           n keys    samples       p85     d_new  d_table   diff%  clipT%  clipN% adopt
tpex   all             5    3     484283    1.0652    0.3551   0.6000    40.8    4.82   15.00     Y
tpex   all            10    3     484283    1.6286    0.5429   0.8000    32.1    6.26   15.00     Y
tpex   all            20    7    1451247    2.4145    0.8048   1.0000    19.5    8.80   15.00      
tpex   all            60    2     482147    4.1257    1.3752   1.5000     8.3   11.91   15.00      
twse   all             5    3     595295    1.0519    0.3506   0.6000    41.6    4.14   15.00     Y
twse   all            10    3     595295    1.6068    0.5356   0.8000    33.0    5.58   15.00     Y
twse   all            20    7    1784289    2.3793    0.7931   1.0000    20.7    8.14   15.00      
twse   all            60    2     593101    4.0682    1.3561   1.5000     9.6   11.34   15.00      
tpex   market_index    5    2       1206    1.2199    0.4066   0.6000    32.2    3.98   15.01     Y
tpex   market_index   10    2       1206    1.9013    0.6338   0.8000    20.8    6.88   15.01      
tpex   market_index   20    4       2412    3.0919    1.0306   1.0000     3.1   16.46   14.93      
tpex   market_index   60    1        603    5.4446    1.8149   1.5000    21.0   28.03   15.09      
tpex   stock           5    1     483077    1.0646    0.3549   0.6000    40.9    4.82   15.00     Y
